location,area_sqft,bedrooms,bathrooms,balconies,floors,parking,property_age,furnishing_status,property_type,distance_from_city_center,nearby_schools,nearby_hospitals,crime_rate,price
Greater Noida,1315,2,1,1,18,2,2,Furnished,Apartment,27.8,9,6,8.0,4932000.0
Ghaziabad,1272,2,1,2,12,2,29,Furnished,Villa,14.9,3,2,2.4,5407000.0
Noida,2105,4,4,2,12,1,21,Furnished,Independent House,29.0,7,4,2.6,11381000.0
Ghaziabad,809,1,1,1,11,1,18,Furnished,Apartment,24.1,8,2,1.9,2470000.0
Ghaziabad,2263,4,3,1,8,0,2,Furnished,Builder Floor,27.9,1,0,7.6,7267000.0
Gurgaon,1415,2,1,2,7,2,11,Furnished,Independent House,28.7,6,5,7.4,9447000.0
Noida,1615,3,3,2,23,1,21,Unfurnished,Apartment,3.9,8,5,9.9,6052000.0
Noida,1879,4,4,1,21,1,4,Unfurnished,Apartment,22.2,8,6,5.7,7474000.0
Noida,2279,4,4,2,2,1,9,Semi-Furnished,Apartment,1.2,4,1,8.4,9971000.0
Ghaziabad,1546,2,2,0,11,2,8,Semi-Furnished,Apartment,2.5,0,1,6.2,4829000.0
Greater Noida,1417,3,3,1,22,1,0,Unfurnished,Independent House,31.7,5,7,8.9,5933000.0
Noida,1564,3,2,2,10,1,12,Furnished,Villa,18.9,7,0,7.5,9996000.0
Faridabad,1124,1,1,1,3,1,2,Furnished,Apartment,26.0,0,0,6.8,3052000.0
Ghaziabad,1201,2,1,2,20,1,18,Unfurnished,Apartment,29.5,1,2,6.1,2763000.0
Gurgaon,1745,3,2,2,10,1,10,Furnished,Apartment,33.3,0,0,7.5,8166000.0
Greater Noida,1765,3,2,2,18,1,15,Semi-Furnished,Apartment,30.6,4,7,4.8,5179000.0
Faridabad,1847,3,3,1,14,1,5,Semi-Furnished,Independent House,17.4,1,6,1.9,5994000.0
Faridabad,1512,2,1,1,18,2,23,Semi-Furnished,Apartment,12.4,9,2,1.4,4133000.0
Gurgaon,1718,3,2,1,24,0,2,Semi-Furnished,Apartment,6.3,9,4,5.3,9871000.0
Greater Noida,1616,3,2,1,8,1,18,Unfurnished,Apartment,14.6,3,1,6.4,4078000.0
Ghaziabad,1433,3,2,2,10,1,5,Furnished,Builder Floor,13.5,0,1,1.7,5508000.0
Delhi,2065,4,4,2,22,0,7,Furnished,Apartment,20.0,6,5,3.6,11539000.0
Greater Noida,1479,3,3,2,13,0,21,Unfurnished,Independent House,23.6,7,5,3.9,5389000.0
Gurgaon,2212,4,3,3,21,1,12,Semi-Furnished,Apartment,34.3,4,7,6.1,9994000.0
Faridabad,1251,2,1,2,8,1,11,Furnished,Independent House,25.8,1,6,3.5,4563000.0
Ghaziabad,1411,3,3,1,4,0,29,Unfurnished,Builder Floor,22.9,7,1,1.9,3758000.0
Greater Noida,1400,2,2,1,4,0,9,Semi-Furnished,Apartment,12.4,0,7,2.5,4646000.0
Delhi,1681,3,3,2,5,2,2,Unfurnished,Apartment,2.2,6,6,2.6,10853000.0
Delhi,1511,3,2,1,1,0,3,Unfurnished,Independent House,10.8,0,4,8.6,8801000.0
Noida,2177,4,4,0,17,2,0,Semi-Furnished,Villa,27.1,5,4,3.6,15232000.0
Noida,1267,2,1,1,2,1,12,Semi-Furnished,Apartment,8.0,5,3,7.4,5229000.0
Gurgaon,1697,3,2,2,8,1,23,Unfurnished,Apartment,25.2,4,2,6.1,5741000.0
Greater Noida,1716,3,3,1,7,1,3,Furnished,Villa,20.7,1,5,9.8,9600000.0
Greater Noida,1569,2,1,2,15,2,21,Unfurnished,Builder Floor,6.8,1,2,3.5,5590000.0
Faridabad,1508,2,2,2,5,1,10,Furnished,Apartment,9.9,8,5,2.4,5352000.0
Faridabad,1545,2,1,1,2,1,18,Semi-Furnished,Villa,17.9,4,3,1.5,5782000.0
Faridabad,1364,2,2,0,7,0,10,Semi-Furnished,Apartment,15.2,4,1,3.2,3886000.0
Noida,1546,2,1,1,8,1,11,Unfurnished,Builder Floor,27.5,6,7,7.2,6263000.0
Greater Noida,1270,2,1,2,7,1,10,Unfurnished,Apartment,26.0,5,6,1.8,3759000.0
Greater Noida,1473,2,2,2,7,0,5,Furnished,Apartment,20.5,1,2,3.2,4843000.0
Delhi,1936,3,3,2,14,0,11,Furnished,Apartment,29.0,0,5,8.7,10153000.0
Noida,1633,3,3,2,21,2,26,Unfurnished,Independent House,20.1,4,2,6.2,6462000.0
Ghaziabad,2258,5,5,1,18,1,8,Semi-Furnished,Apartment,33.8,3,1,1.6,6806000.0
Noida,1650,3,2,1,6,1,24,Furnished,Apartment,8.4,2,6,1.4,6926000.0
